Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
02655,3846.0,54.6,73323.0,50951.0,210.0,5.46021840873635
02657,2974.0,52.9,46031.0,45142.0,420.0,14.122394082044385
02659,741.0,61.0,51466.0,36133.0,42.0,5.668016194331984
02660,5881.0,51.3,48617.0,28784.0,822.0,13.977214759394661
02663,96.0,34.7,21667.0,18307.0,0.0,0.0
02664,9562.0,50.3,49698.0,31998.0,929.0,9.715540681865718
02666,528.0,64.0,102031.0,56678.0,25.0,4.734848484848484
02667,3002.0,60.1,59233.0,44261.0,344.0,11.459027315123251
02668,3178.0,47.2,76781.0,46928.0,167.0,5.254877281309
02669,183.0,69.1,100398.0,50989.0,0.0,0.0
02670,1087.0,62.4,45000.0,36567.0,205.0,18.859245630174794
02671,1011.0,56.9,44516.0,45337.0,120.0,11.869436201780415
02672,91.0,76.2,29769.0,24688.0,0.0,0.0
02673,8384.0,47.7,47060.0,31228.0,690.0,8.229961832061068
02675,6155.0,59.0,62796.0,41614.0,311.0,5.052802599512591
02702,4268.0,40.6,93042.0,31894.0,242.0,5.670103092783505
02703,43603.0,38.7,65767.0,30511.0,3556.0,8.155402151228126
02713,139.0,60.5,38500.0,27138.0,2.0,1.4388489208633093
02715,3057.0,38.7,90625.0,30753.0,95.0,3.1076218514883873
02717,4599.0,43.0,81224.0,32992.0,139.0,3.0223961730811046
02718,6854.0,39.3,76709.0,28396.0,137.0,1.9988327983659178
02719,15893.0,45.1,59933.0,29868.0,1559.0,9.809350028314352
02720,30782.0,40.5,42439.0,24473.0,5045.0,16.389448378922747
02721,25566.0,35.2,31275.0,20137.0,6899.0,26.98505828052883
02723,14799.0,35.2,28625.0,18415.0,4233.0,28.60328400567606
02724,17147.0,40.6,28866.0,18928.0,4142.0,24.155829007989738
02725,2577.0,49.1,67910.0,29757.0,95.0,3.686457120682965
02726,15654.0,43.9,72277.0,32749.0,915.0,5.845151399003449
02738,4913.0,45.7,85398.0,46082.0,135.0,2.747811927539182
02739,6070.0,46.3,81827.0,38620.0,154.0,2.5370675453047777
02740,43863.0,38.1,35920.0,21094.0,9533.0,21.733579554522034
02743,10310.0,42.3,65111.0,30733.0,557.0,5.402521823472357
02744,11551.0,35.5,31424.0,17826.0,3084.0,26.698987100683922
02745,25005.0,39.7,50750.0,26246.0,2405.0,9.618076384723055
02746,14345.0,31.4,24487.0,16357.0,5054.0,35.2317880794702
02747,21538.0,37.5,72321.0,26602.0,878.0,4.0765159253412575
02748,12893.0,46.8,68279.0,38281.0,729.0,5.654230978050105
02760,26997.0,38.1,79249.0,34842.0,1160.0,4.29677371559803
02762,8278.0,39.5,83750.0,38704.0,390.0,4.711282918579367
02763,1676.0,39.2,120000.0,37026.0,46.0,2.7446300715990453
02764,4006.0,41.9,81591.0,37241.0,137.0,3.419870194707938
02766,19123.0,38.8,80543.0,30094.0,992.0,5.187470585159232
02767,13461.0,40.9,77865.0,34343.0,732.0,5.437931802986405
02769,11570.0,42.6,82152.0,35661.0,464.0,4.010371650821089
02770,5199.0,41.8,99531.0,36772.0,316.0,6.078091940757838
02771,13785.0,43.4,75267.0,33951.0,590.0,4.280014508523758
02777,15903.0,44.4,72061.0,35011.0,914.0,5.74734326856568
02779,6411.0,38.9,89549.0,30738.0,428.0,6.6760255810326
02780,48972.0,40.2,51446.0,25861.0,7120.0,14.538920199297557
02790,16074.0,47.2,76663.0,35566.0,612.0,3.807390817469205
02791,46.0,62.6,64583.0,51487.0,0.0,0.0
02802,582.0,48.3,67813.0,56417.0,0.0,0.0
02804,2657.0,45.6,73125.0,32409.0,72.0,2.709823108769289
02806,16352.0,43.7,103211.0,50796.0,312.0,1.908023483365949
02807,863.0,53.8,90789.0,52336.0,75.0,8.690614136732329
02808,2491.0,36.3,68056.0,29132.0,198.0,7.948615014050582
02809,22792.0,42.2,60934.0,31307.0,2119.0,9.297121797121797
02812,1901.0,37.5,87222.0,35396.0,22.0,1.157285639137296
02813,7823.0,44.6,72786.0,37194.0,817.0,10.44356385018535
02814,7584.0,43.8,81228.0,32612.0,279.0,3.6787974683544302
02815,256.0,40.3,132411.0,40663.0,0.0,0.0
02816,32646.0,42.3,64411.0,29632.0,3118.0,9.550940390859523
02817,6081.0,41.6,80764.0,37115.0,336.0,5.5254070054267395
02818,18189.0,44.6,85682.0,51187.0,958.0,5.266919566771126
02822,6379.0,42.1,95990.0,37006.0,449.0,7.038720802633642
02825,5381.0,44.0,89276.0,37832.0,188.0,3.4937743913770674
02826,450.0,46.7,29615.0,19999.0,95.0,21.11111111111111
02827,2149.0,47.0,85278.0,35538.0,177.0,8.236389018147976
02828,7590.0,46.9,77333.0,36672.0,333.0,4.387351778656127
02830,6788.0,42.1,71111.0,32163.0,355.0,5.2298173246906305
02831,3340.0,42.7,82750.0,31824.0,133.0,3.9820359281437128
02832,5222.0,43.2,66379.0,31074.0,262.0,5.017234775947912
02833,495.0,59.0,52995.0,38569.0,11.0,2.2222222222222223
02835,5420.0,49.5,85337.0,47854.0,753.0,13.892988929889299
02836,119.0,30.8,69191.0,35892.0,0.0,0.0
02837,3491.0,50.1,91319.0,49736.0,213.0,6.101403609281008
02838,3780.0,38.9,52179.0,26193.0,404.0,10.687830687830688
02839,1744.0,42.6,72321.0,30815.0,160.0,9.174311926605505
02840,23438.0,39.2,57953.0,37713.0,2364.0,10.086184828057002
02841,967.0,25.0,-666666666.0,28023.0,0.0,0.0
02842,16122.0,41.7,70614.0,35004.0,1286.0,7.976677831534549
02852,22587.0,42.3,76937.0,39272.0,1827.0,8.088723602071989
02857,8479.0,46.8,76955.0,36977.0,300.0,3.538153084090105
02858,554.0,55.2,82500.0,55809.0,17.0,3.068592057761733
02859,6610.0,43.2,64935.0,29053.0,410.0,6.202723146747353
02860,43960.0,36.3,32169.0,20518.0,10959.0,24.9294813466788
02861,27434.0,39.2,55389.0,25341.0,2248.0,8.194211562294962
02863,19374.0,30.3,29268.0,14973.0,5764.0,29.751212965830494
02864,33340.0,42.0,73397.0,34647.0,1504.0,4.511097780443912
02865,16878.0,43.0,81892.0,39909.0,761.0,4.508828060196706
02871,17222.0,45.0,73806.0,41692.0,1257.0,7.298803855533619
02872,105.0,66.0,-666666666.0,,0.0,0.0
